epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,460.326,1.25137,0.92371,1.16639,0.91657,0.86363,0.9025,0.5665,1.05892,1.24645,1.05931,0.0700221,0.00333088,0.00333088
2,896.855,1.19383,0.65416,1.13302,0.93717,0.87873,0.92235,0.57828,1.06268,0.86083,1.05595,0.0400054,0.00664755,0.00664755
3,1330.44,1.18675,0.62858,1.12883,0.91663,0.82874,0.89816,0.57149,1.09503,0.68918,1.06365,0.00997212,0.00994756,0.00994756
4,1769.1,1.17095,0.59611,1.11998,0.93474,0.85984,0.92337,0.59579,1.08718,0.78229,1.06135,0.00992501,0.00992501,0.00992501
5,2217.84,1.1415,0.5566,1.1039,0.94551,0.88923,0.94482,0.6327,0.99656,0.62037,1.01075,0.00990001,0.00990001,0.00990001
6,3498,1.116,0.53199,1.09587,0.94825,0.90097,0.94807,0.6372,0.9988,0.70467,1.00677,0.00987501,0.00987501,0.00987501
7,3929.92,1.10307,0.5133,1.08661,0.95397,0.90062,0.95105,0.64783,0.98547,0.60547,1.00754,0.00985002,0.00985002,0.00985002
8,4373.31,1.09444,0.50399,1.07927,0.954,0.90187,0.94277,0.63782,0.99901,0.7667,1.01056,0.00982502,0.00982502,0.00982502
9,4816.21,1.08236,0.49423,1.07659,0.95598,0.89953,0.94696,0.63744,1.00779,0.66032,1.01518,0.00980002,0.00980002,0.00980002
10,5259.04,1.07207,0.48587,1.07103,0.95686,0.91147,0.95358,0.66336,0.96084,0.71583,0.99405,0.00977502,0.00977502,0.00977502
11,5708.93,1.06712,0.48127,1.07144,0.96051,0.91018,0.95996,0.66734,0.95569,0.69519,0.99302,0.00975003,0.00975003,0.00975003
12,6160.02,1.06009,0.47785,1.0675,0.96183,0.90472,0.95632,0.66692,0.95115,0.63395,0.99016,0.00972503,0.00972503,0.00972503
13,7743.65,1.05388,0.4694,1.06381,0.95646,0.91235,0.95929,0.66442,0.95148,0.63608,0.98853,0.00970003,0.00970003,0.00970003
14,8240.25,1.0497,0.46734,1.06003,0.96069,0.92434,0.96133,0.6681,0.94024,0.78579,0.98387,0.00967503,0.00967503,0.00967503
15,8700.11,1.0441,0.46233,1.0586,0.96173,0.92422,0.96555,0.68175,0.9393,0.66237,0.98453,0.00965003,0.00965003,0.00965003
16,9152.99,1.03856,0.45646,1.05731,0.96115,0.91887,0.96282,0.67898,0.93926,0.73126,0.98406,0.00962504,0.00962504,0.00962504
17,9888.02,1.03879,0.45593,1.05383,0.96166,0.92634,0.96316,0.68013,0.93198,0.9035,0.97986,0.00960004,0.00960004,0.00960004
18,10347.8,1.03374,0.45311,1.0534,0.96598,0.93219,0.96925,0.69088,0.92034,0.68792,0.97565,0.00957504,0.00957504,0.00957504
19,10805.5,1.02959,0.45028,1.04987,0.96186,0.93047,0.96858,0.68745,0.92195,0.71602,0.97532,0.00955005,0.00955005,0.00955005
20,11262.7,1.02715,0.44991,1.0501,0.96265,0.92552,0.96313,0.68427,0.93004,0.92823,0.97869,0.00952505,0.00952505,0.00952505
21,11766.8,1.02086,0.44604,1.04797,0.96361,0.92544,0.96443,0.68695,0.91854,0.76809,0.97256,0.00950005,0.00950005,0.00950005
22,12257,1.01412,0.43999,1.04615,0.96414,0.92755,0.96794,0.69001,0.91663,0.70818,0.97409,0.00947505,0.00947505,0.00947505
23,12705.6,1.01399,0.43969,1.04629,0.96563,0.9302,0.96829,0.69451,0.91453,0.67766,0.9723,0.00945005,0.00945005,0.00945005
24,13138.3,1.01259,0.44003,1.04558,0.96145,0.93206,0.96838,0.69239,0.90824,0.74479,0.96845,0.00942506,0.00942506,0.00942506
25,13722.8,1.01185,0.43776,1.04293,0.96448,0.93444,0.9709,0.69834,0.90907,0.69858,0.96946,0.00940006,0.00940006,0.00940006
